Company Name,Profile URL,Industry,Location,Sales Revenue ($M)
THE WORKWEAR GROUP HOLDING PTY LTD,https://www.dnb.com/business-directory/company-profiles.the_workwear_group_holding_pty_ltd.0ee68c05c3571996e215f329f852be65.html,,,
ARISTOCRAT LEISURE LIMITED,https://www.dnb.com/business-directory/company-profiles.aristocrat_leisure_limited.36adf61eebb809362a85a9c009138caa.html,,,
GRAINCORP LIMITED,https://www.dnb.com/business-directory/company-profiles.graincorp_limited.860622f8fb9915269b58b8cd8baabb4f.html,,,
CHEVRON AUSTRALIA DOWNSTREAM HOLDINGS PTY LTD,https://www.dnb.com/business-directory/company-profiles.chevron_australia_downstream_holdings_pty_ltd.b85c472b8710e87fb5291a04eef3f57f.html,,,
CCEP HOLDINGS (AUSTRALIA) PTY LTD,https://www.dnb.com/business-directory/company-profiles.ccep_holdings_(australia)_pty_ltd.37b56acb7b4f6c93c04d253768a5bb55.html,,,
INGHAM 2 PTY LIMITED,https://www.dnb.com/business-directory/company-profiles.ingham_2_pty_limited.be75bd85a1c8f1a6acbfc4881ac5e438.html,,,
LIBERTY HOLDINGS AUSTRALIA PTY LTD,https://www.dnb.com/business-directory/company-profiles.liberty_holdings_australia_pty_ltd.2625e3ff7bfe4d29bd66c7804f596b98.html,,,
JAMES HARDIE INDUSTRIES PUBLIC LIMITED COMPANY,https://www.dnb.com/business-directory/company-profiles.james_hardie_industries_public_limited_company.c6355b29197d187d4af1b41feccb215e.html,,,
RIVALEA HOLDINGS PTY LIMITED,https://www.dnb.com/business-directory/company-profiles.rivalea_holdings_pty_limited.d86adefebfd2a443ec3df18dd998c859.html,,,
WESTMEAD MEDICAL SUPPLIES PTY LIMITED,https://www.dnb.com/business-directory/company-profiles.westmead_medical_supplies_pty_limited.336a13e456f1730bac387aa242c297b3.html,,,
THE LSW GROUP PTY. LTD.,https://www.dnb.com/business-directory/company-profiles.the_lsw_group_pty_ltd.1bbdb4f50612c692590c3cb5fd6632a4.html,,,
LIBERTY INFRABUILD LTD,https://www.dnb.com/business-directory/company-profiles.liberty_infrabuild_ltd.9bc76b77d3d1db1eef7aa4d9464299f2.html,,,
